dataset_name,filter_name,image_difference_mean,image_difference_median,image_difference_std,saliency_divergence_mean,saliency_divergence_median,saliency_divergence_std,saliency_divergence_log_mean,saliency_divergence_log_median,saliency_divergence_log_std,divergence_per_difference_mean,divergence_per_difference_median,divergence_per_difference_std,divergence_per_difference_log_mean,divergence_per_difference_log_median,divergence_per_difference_log_std,base_information_gain_mean,base_information_gain_median,base_information_gain_std,base_information_gain_log_mean,base_information_gain_log_median,base_information_gain_log_std,filtered_information_gain_mean,filtered_information_gain_median,filtered_information_gain_std,filtered_information_gain_log_mean,filtered_information_gain_log_median,filtered_information_gain_log_std,information_asymmetry_mean,information_asymmetry_median,information_asymmetry_std,information_asymmetry_log_mean,information_asymmetry_log_median,information_asymmetry_log_std,information_asymmetry_per_difference_mean,information_asymmetry_per_difference_median,information_asymmetry_per_difference_std,information_asymmetry_per_difference_log_mean,information_asymmetry_per_difference_log_median,information_asymmetry_per_difference_log_std
MIT1003,bloom_filter_9,32.35635855111289,28.926959416178622,22.463874988429453,1.0491855573670565e-07,5.656437065760838e-08,2.20375577500684e-07,2.2302752227780232e-05,3.649038718170244e-06,4.986315256971431e-05,6.094523388346094e-09,2.2631741244556356e-09,4.707676802763726e-08,1.3012011459117598e-06,1.3510010357520611e-07,5.821851951048994e-06,2.212511666856666e-06,2.121680818386472e-06,6.964646776656527e-07,1.047220276755815e-05,1.0452733169535397e-05,1.7860595757504758e-06,2.1524768743996627e-06,2.066308800128445e-06,6.708140512764485e-07,1.0482152046370927e-05,1.0403858160596892e-05,1.7751924065585436e-06,-6.003479245700306e-08,-3.7058471965468325e-08,1.9236856240000535e-07,9.949278812775708e-09,-7.3637800106518975e-09,1.0516888380919113e-06,2.391506855679153e-09,-1.2496940475629887e-09,1.6045553513874148e-07,-3.6222940713585755e-09,-2.0701812487316056e-10,1.626166719915095e-07
MIT1003,chromatic_aberration_1,52.02795966861724,50.080866671156606,19.750922496512764,1.3258904779233654e-07,1.0485134560590081e-07,9.90440091628462e-08,3.307441155994114e-05,9.26831374010256e-06,5.426249590389092e-05,2.8877406967953886e-09,2.131325902697556e-09,2.662899936898639e-09,7.440972276076163e-07,1.8341105225002065e-07,1.6489432331150246e-06,2.212511666856666e-06,2.121680818386472e-06,6.964646776656527e-07,1.047220276755815e-05,1.0452733169535397e-05,1.7860595757504758e-06,2.1200969029196027e-06,2.0133240445179478e-06,6.890147726322648e-07,1.0258579833455629e-05,1.0232778760194365e-05,1.7329934753511228e-06,-9.241476393706275e-08,-7.204930362737901e-08,2.3707857747255362e-07,-2.1362293410252074e-07,-1.1064175913887679e-07,1.246152167182233e-06,-2.0913910705083068e-09,-1.4755375660623603e-09,6.633499199997087e-09,-3.2193496418743277e-09,-2.3324591006866333e-09,3.503025247341511e-08
MIT1003,chromatic_aberration_10,71.6116653145077,72.45414564344618,15.04664207421234,4.2592476363088587e-07,3.531195182368097e-07,2.813584094367837e-07,9.71343856368899e-05,7.25394636218229e-05,8.360172733602926e-05,6.355535679637451e-09,5.106605014976731e-09,4.982985312041147e-09,1.4502516707244013e-06,1.0360571434349753e-06,1.4511239269484869e-06,2.212511666856666e-06,2.121680818386472e-06,6.964646776656527e-07,1.047220276755815e-05,1.0452733169535397e-05,1.7860595757504758e-06,1.7990598112582526e-06,1.67971115086862e-06,5.915391650874518e-07,9.908304329980552e-06,9.853827249133214e-06,1.689053963427018e-06,-4.134518555984131e-07,-3.487898599313522e-07,4.1906208648225354e-07,-5.638984375775963e-07,-3.5330436629529647e-07,1.564376661250645e-06,-6.08932121303591e-09,-4.94695217310115e-09,6.71356707310897e-09,-7.352246668599501e-09,-5.052406022568244e-09,2.3402318302132714e-08
MIT1003,chromatic_aberration_2,58.29817527976289,57.487577226426865,18.7795303074728,1.9659859335302476e-07,1.5871924062622875e-07,1.4613966552862777e-07,4.846225056468785e-05,2.13245240856215e-05,6.493517638860672e-05,3.743996190682409e-09,2.8095943535617737e-09,3.377211340405697e-09,9.56247544909214e-07,3.8952950879592725e-07,1.8706174717869003e-06,2.212511666856666e-06,2.121680818386472e-06,6.964646776656527e-07,1.047220276755815e-05,1.0452733169535397e-05,1.7860595757504758e-06,2.019357092967201e-06,1.9056855426041936e-06,6.584802079627283e-07,1.0191852306515252e-05,1.0082307710246998e-05,1.721932496318386e-06,-1.9315457388946493e-07,-1.590448428484512e-07,3.015517796428192e-07,-2.803504610428965e-07,-1.1482728714799077e-07,1.3590302828177044e-06,-3.7580687718176935e-09,-2.728144571247974e-09,7.018120827514382e-09,-3.2585570785013594e-09,-1.9556498702000938e-09,3.057557701192934e-08
MIT1003,chromatic_aberration_3,61.75533450783898,61.444922553168404,18.024876106193872,2.4375348076482095e-07,2.0086321210808378e-07,1.7795024283242322e-07,5.795397962714495e-05,2.8982630122424513e-05,6.990789421103804e-05,4.32573254897062e-09,3.407670195818846e-09,3.6712584571229494e-09,1.058785595534633e-06,4.742826278093063e-07,1.6593220037225121e-06,2.212511666856666e-06,2.121680818386472e-06,6.964646776656527e-07,1.047220276755815e-05,1.0452733169535397e-05,1.7860595757504758e-06,1.9735219102765117e-06,1.8648233739234966e-06,6.45788352078033e-07,1.0159057362967485e-05,1.0085635892314107e-05,1.6661448555194823e-06,-2.3898975658015405e-07,-1.964982112191665e-07,3.3497514619060604e-07,-3.1314540459066283e-07,-1.1476342238678555e-07,1.433125475182098e-06,-4.289771057460688e-09,-3.282361781102814e-09,7.109456865223499e-09,-3.9593357829443625e-09,-1.7461967442551324e-09,2.884312790947513e-08
MIT1003,chromatic_aberration_4,64.2578236370198,64.3534162001346,17.37987933774126,2.8219578292380137e-07,2.2989770128316588e-07,1.9303918903661907e-07,6.657771019392741e-05,3.6695399698248966e-05,7.431118396413852e-05,4.745516194609106e-09,3.777181156549284e-09,3.714424726134205e-09,1.1396615524852844e-06,5.805986168450321e-07,1.5203376421892331e-06,2.212511666856666e-06,2.121680818386472e-06,6.964646776656527e-07,1.047220276755815e-05,1.0452733169535397e-05,1.7860595757504758e-06,1.938113979357699e-06,1.8056936008742462e-06,6.393744170821321e-07,1.0075778386454926e-05,9.995997118766366e-06,1.6935759139565075e-06,-2.7439768749896667e-07,-2.2458893609841065e-07,3.631402822210078e-07,-3.9642438110322394e-07,-2.2568662255492536e-07,1.4777897484372017e-06,-4.663433319311257e-09,-3.703217113930783e-09,7.0296923562711005e-09,-5.409347617026879e-09,-3.5534286833700344e-09,2.763396783492057e-08
MIT1003,chromatic_aberration_5,66.14357013144628,66.48837254879466,16.83904150953465,3.116919174213765e-07,2.5291980610929896e-07,2.108730834462783e-07,7.306730954731521e-05,4.2712190575991335e-05,7.716217269828851e-05,5.072150643546075e-09,3.9666547560814716e-09,3.917663525166199e-09,1.1878662535179007e-06,6.856915046540577e-07,1.411934406710071e-06,2.212511666856666e-06,2.121680818386472e-06,6.964646776656527e-07,1.047220276755815e-05,1.0452733169535397e-05,1.7860595757504758e-06,1.9016135609941725e-06,1.7733994165182355e-06,6.226431257256028e-07,9.996143238553689e-06,9.91135414731495e-06,1.6793402373171492e-06,-3.108981058624934e-07,-2.5314574761550707e-07,3.7971050843456485e-07,-4.76059529004461e-07,-2.8149245363840727e-07,1.4805674271090042e-06,-5.056959901508842e-09,-4.009410735457823e-09,7.001167659970214e-09,-6.639308803566719e-09,-4.4014276277297045e-09,2.4829916995180162e-08
MIT1003,chromatic_aberration_6,67.66142590503878,68.07930184624327,16.364561452912092,3.385293127005332e-07,2.7353790340105074e-07,2.26076594190534e-07,8.103492980486718e-05,5.08935259010243e-05,7.917244849254339e-05,5.379554047094174e-09,4.285919320351676e-09,4.2405742880131335e-09,1.2952051147131344e-06,8.090265370620302e-07,1.4861862479171965e-06,2.212511666856666e-06,2.121680818386472e-06,6.964646776656527e-07,1.047220276755815e-05,1.0452733169535397e-05,1.7860595757504758e-06,1.8757353988959031e-06,1.7421120759130084e-06,6.193061744000318e-07,9.997905703816606e-06,9.92960725667016e-06,1.6580399018394527e-06,-3.367762679607629e-07,-2.924014114886405e-07,3.876240818682543e-07,-4.7429706374154504e-07,-2.8637945228569736e-07,1.4837063956186226e-06,-5.3387343885625335e-09,-4.374915930436399e-09,7.0302251741280765e-09,-5.781690478494025e-09,-4.299580277301921e-09,2.9157601303408638e-08
MIT1003,chromatic_aberration_7,68.8950115618831,69.354312049018,15.966343522014148,3.6470582244674675e-07,2.99235817861114e-07,2.4562105354129906e-07,8.514422530201393e-05,5.915730412729323e-05,7.923827309259021e-05,5.664374264675962e-09,4.506916929572024e-09,4.395737165130025e-09,1.3219107076761464e-06,8.989597126191367e-07,1.3635368759291462e-06,2.212511666856666e-06,2.121680818386472e-06,6.964646776656527e-07,1.047220276755815e-05,1.0452733169535397e-05,1.7860595757504758e-06,1.8585687337531187e-06,1.724912072931821e-06,6.118104791830807e-07,9.980285546543648e-06,9.88162101396465e-06,1.670105641118756e-06,-3.5394293310354735e-07,-2.9082521206881784e-07,3.9714770832015567e-07,-4.919172210145022e-07,-2.586631137722629e-07,1.5365380433328347e-06,-5.4758436639616676e-09,-4.529268881179432e-09,6.852865642130652e-09,-6.324655143262123e-09,-3.845120275510949e-09,2.6756458244445243e-08
MIT1003,chromatic_aberration_8,69.93440883820578,70.71221584743924,15.614368164396916,3.909668215201134e-07,3.267602792841064e-07,2.586356796128797e-07,9.074764626794381e-05,6.676430698993591e-05,8.101886104528649e-05,5.9899712423096275e-09,4.744594047795037e-09,4.743919305108709e-09,1.3974357880424543e-06,9.715124661682585e-07,1.4556286142864046e-06,2.212511666856666e-06,2.121680818386472e-06,6.964646776656527e-07,1.047220276755815e-05,1.0452733169535397e-05,1.7860595757504758e-06,1.835773163105672e-06,1.6997643036379261e-06,6.066519946291978e-07,9.971620979621365e-06,9.92171888960662e-06,1.682058384368984e-06,-3.7673850375099396e-07,-3.1585109187580004e-07,4.082135358406189e-07,-5.005817879367865e-07,-2.52366647487377e-07,1.5681437560193462e-06,-5.7157175039282566e-09,-4.6244332537194355e-09,6.851075636060935e-09,-6.409054680173376e-09,-3.894132815797528e-09,2.5599720577574768e-08
